Song Title,Artist,Album,Year released,File size,Song Duration,Filename,Genre,File extension,Bitrate (kbps),Sample Rate (Hz),File size (bytes),Song duration (seconds),Play count,Rating,Added to library on (timestamp),Added to library on (epoch),Composer,Comment
American Capitalist,Five Finger Death Punch,American Capitalist,2011,8.82 MB,"3 minutes, 28 seconds",iPod_Control/Music/F01/AJSS.mp3,Metal,MP3,320,44100,8817011,208,17,No rating,2012-09-15 19:02:35 UTC,3430580555,,
Coming Down,Five Finger Death Punch,American Capitalist,2011,10.13 MB,"4 minutes, 1 second",iPod_Control/Music/F00/UAPR.mp3,Metal,MP3,320,44100,10128342,241,15,No rating,2012-09-15 19:02:35 UTC,3430580555,,
Duality,,,0,5.18 MB,"3 minutes, 34 seconds",iPod_Control/Music/F00/KSMR.mp3,,MP3,192,44100,5182958,214,15,No rating,2012-09-15 19:09:15 UTC,3430580955,,
Snuff,,,0,5.79 MB,"4 minutes, 47 seconds",iPod_Control/Music/F02/PSBP.mp3,,MP3,160,22050,5787954,287,3,No rating,2012-09-15 19:09:33 UTC,3430580973,,
Dead Memories,,,0,7.11 MB,"4 minutes, 54 seconds",iPod_Control/Music/F01/ZRJP.mp3,,MP3,192,44100,7113302,294,4,No rating,2012-09-15 19:09:41 UTC,3430580981,,
(Sic),Slipknot,Slipknot,1999,7.10 MB,"3 minutes, 19 seconds",iPod_Control/Music/F01/HLJM.m4a,Rock,M4A,256,44100,7104913,199,12,No rating,2011-10-25 00:25:18 UTC,3402347118,,
Wait and Bleed,Slipknot,Slipknot,1999,5.39 MB,"2 minutes, 27 seconds",iPod_Control/Music/F02/QMIO.m4a,Rock,M4A,256,44100,5385222,147,21,No rating,2011-10-25 00:25:18 UTC,3402347118,,
Spit It Out,Slipknot,Slipknot,1999,5.79 MB,"2 minutes, 39 seconds",iPod_Control/Music/F01/CFBF.m4a,Rock,M4A,256,44100,5787470,159,27,No rating,2011-10-25 00:25:18 UTC,3402347118,,
No Life,Slipknot,Slipknot,1999,6.03 MB,"2 minutes, 47 seconds",iPod_Control/Music/F02/DARZ.m4a,Rock,M4A,256,44100,6029547,167,8,No rating,2011-10-25 00:25:18 UTC,3402347118,,
Only One,Slipknot,Slipknot,1999,5.28 MB,"2 minutes, 26 seconds",iPod_Control/Music/F00/MRVZ.m4a,Rock,M4A,256,44100,5283791,146,4,No rating,2011-10-25 00:25:18 UTC,3402347118,,
Laid to Rest,Lamb of God,Ashes of the Wake,2004,8.57 MB,"3 minutes, 50 seconds",iPod_Control/Music/F02/QEYB.m4a,,M4A,256,44100,8571504,230,15,No rating,2011-10-25 00:25:35 UTC,3402347135,"John Campbell, Chris Adler, Mark Morton, Will Adler & David Randall Blythe",
Descending,Lamb of God,Sacrament,2006,6.29 MB,"3 minutes, 35 seconds",iPod_Control/Music/F00/ZEUN.mp3,Metal,MP3,233,44100,6288256,215,6,No rating,2011-11-07 20:36:38 UTC,3403542998,Lamb of God,http://www.knac.com
Blacken The Cursed Sun,Lamb of God,Sacrament,2006,10.09 MB,"5 minutes, 28 seconds",iPod_Control/Music/F01/FKJE.mp3,Metal,MP3,245,44100,10086836,328,3,No rating,2011-11-07 20:36:50 UTC,3403543010,Lamb of God, 000018F1 00000000 000069E1 00000000 0003CB7B 00000000 00008000 00000000 000074A7 00000000
Walk With Me In Hell,Lamb of God,,2006,6.29 MB,"5 minutes, 14 seconds",iPod_Control/Music/F02/IBQB.mp3,Metal,MP3,160,44100,6289051,314,6,No rating,2011-11-07 20:37:08 UTC,3403543028,Lamb of God,
Sulfur,Slipknot,Wrath,2009,7.31 MB,"5 minutes, 3 seconds",iPod_Control/Music/F02/TOLV.mp3,,MP3,192,44100,7310161,303,11,No rating,2012-09-15 19:20:20 UTC,3430581620,,
Pulse of the Maggots,Slipknot,,0,6.27 MB,"4 minutes, 19 seconds",iPod_Control/Music/F02/HVEG.mp3,,MP3,192,44100,6268189,259,5,No rating,2012-09-15 19:23:42 UTC,3430581822,,
Left Behind,,,0,5.27 MB,"3 minutes, 38 seconds",iPod_Control/Music/F01/DKEE.mp3,,MP3,192,44100,5270102,218,2,No rating,2012-09-15 19:29:45 UTC,3430582185,,
