Preset Name,Preset Name length,Preamp Value (Raw),Preamp Value (dB),Band #1 Frequency (Hz),Band #1 Frequency display,Band #1 Value (Raw),Band #1 Value (dB),Band #2 Frequency (Hz),Band #2 Frequency display,Band #2 Value (Raw),Band #2 Value (dB),Band #3 Frequency (Hz),Band #3 Frequency display,Band #3 Value (Raw),Band #3 Value (dB),Band #4 Frequency (Hz),Band #4 Frequency display,Band #4 Value (Raw),Band #4 Value (dB),Band #5 Frequency (Hz),Band #5 Frequency display,Band #5 Value (Raw),Band #5 Value (dB),Band #6 Frequency (Hz),Band #6 Frequency display,Band #6 Value (Raw),Band #6 Value (dB),Band #7 Frequency (Hz),Band #7 Frequency display,Band #7 Value (Raw),Band #7 Value (dB),Band #8 Frequency (Hz),Band #8 Frequency display,Band #8 Value (Raw),Band #8 Value (dB),Band #9 Frequency (Hz),Band #9 Frequency display,Band #9 Value (Raw),Band #9 Value (dB),Band #10 Frequency (Hz),Band #10 Frequency display,Band #10 Value (Raw),Band #10 Value (dB)
'Latin',5,0,0,32,32,450,4.5,64,64,300,3,128,125,0,0,256,250,0,0,512,500,-150,-1.5,1024,1K,-150,-1.5,2048,2K,-150,-1.5,4096,4K,0,0,8192,8K,300,3,16384,16K,450,4.5
Preset Name,Preset Name length,Preamp Value (Raw),Preamp Value (dB),Band #1 Frequency (Hz),Band #1 Frequency display,Band #1 Value (Raw),Band #1 Value (dB),Band #2 Frequency (Hz),Band #2 Frequency display,Band #2 Value (Raw),Band #2 Value (dB),Band #3 Frequency (Hz),Band #3 Frequency display,Band #3 Value (Raw),Band #3 Value (dB),Band #4 Frequency (Hz),Band #4 Frequency display,Band #4 Value (Raw),Band #4 Value (dB),Band #5 Frequency (Hz),Band #5 Frequency display,Band #5 Value (Raw),Band #5 Value (dB),Band #6 Frequency (Hz),Band #6 Frequency display,Band #6 Value (Raw),Band #6 Value (dB),Band #7 Frequency (Hz),Band #7 Frequency display,Band #7 Value (Raw),Band #7 Value (dB),Band #8 Frequency (Hz),Band #8 Frequency display,Band #8 Value (Raw),Band #8 Value (dB),Band #9 Frequency (Hz),Band #9 Frequency display,Band #9 Value (Raw),Band #9 Value (dB),Band #10 Frequency (Hz),Band #10 Frequency display,Band #10 Value (Raw),Band #10 Value (dB)
'Loudness',8,0,0,32,32,600,6,64,64,400,4,128,125,0,0,256,250,0,0,512,500,-200,-2,1024,1K,0,0,2048,2K,-100,-1,4096,4K,-500,-5,8192,8K,500,5,16384,16K,100,1
Preset Name,Preset Name length,Preamp Value (Raw),Preamp Value (dB),Band #1 Frequency (Hz),Band #1 Frequency display,Band #1 Value (Raw),Band #1 Value (dB),Band #2 Frequency (Hz),Band #2 Frequency display,Band #2 Value (Raw),Band #2 Value (dB),Band #3 Frequency (Hz),Band #3 Frequency display,Band #3 Value (Raw),Band #3 Value (dB),Band #4 Frequency (Hz),Band #4 Frequency display,Band #4 Value (Raw),Band #4 Value (dB),Band #5 Frequency (Hz),Band #5 Frequency display,Band #5 Value (Raw),Band #5 Value (dB),Band #6 Frequency (Hz),Band #6 Frequency display,Band #6 Value (Raw),Band #6 Value (dB),Band #7 Frequency (Hz),Band #7 Frequency display,Band #7 Value (Raw),Band #7 Value (dB),Band #8 Frequency (Hz),Band #8 Frequency display,Band #8 Value (Raw),Band #8 Value (dB),Band #9 Frequency (Hz),Band #9 Frequency display,Band #9 Value (Raw),Band #9 Value (dB),Band #10 Frequency (Hz),Band #10 Frequency display,Band #10 Value (Raw),Band #10 Value (dB)
'Lounge',6,0,0,32,32,-300,-3,64,64,-150,-1.5,128,125,-50,-0.5,256,250,150,1.5,512,500,400,4,1024,1K,250,2.5,2048,2K,0,0,4096,4K,-150,-1.5,8192,8K,200,2,16384,16K,100,1
Preset Name,Preset Name length,Preamp Value (Raw),Preamp Value (dB),Band #1 Frequency (Hz),Band #1 Frequency display,Band #1 Value (Raw),Band #1 Value (dB),Band #2 Frequency (Hz),Band #2 Frequency display,Band #2 Value (Raw),Band #2 Value (dB),Band #3 Frequency (Hz),Band #3 Frequency display,Band #3 Value (Raw),Band #3 Value (dB),Band #4 Frequency (Hz),Band #4 Frequency display,Band #4 Value (Raw),Band #4 Value (dB),Band #5 Frequency (Hz),Band #5 Frequency display,Band #5 Value (Raw),Band #5 Value (dB),Band #6 Frequency (Hz),Band #6 Frequency display,Band #6 Value (Raw),Band #6 Value (dB),Band #7 Frequency (Hz),Band #7 Frequency display,Band #7 Value (Raw),Band #7 Value (dB),Band #8 Frequency (Hz),Band #8 Frequency display,Band #8 Value (Raw),Band #8 Value (dB),Band #9 Frequency (Hz),Band #9 Frequency display,Band #9 Value (Raw),Band #9 Value (dB),Band #10 Frequency (Hz),Band #10 Frequency display,Band #10 Value (Raw),Band #10 Value (dB)
'Piano',5,0,0,32,32,300,3,64,64,200,2,128,125,0,0,256,250,250,2.5,512,500,300,3,1024,1K,150,1.5,2048,2K,350,3.5,4096,4K,450,4.5,8192,8K,300,3,16384,16K,350,3.5
Preset Name,Preset Name length,Preamp Value (Raw),Preamp Value (dB),Band #1 Frequency (Hz),Band #1 Frequency display,Band #1 Value (Raw),Band #1 Value (dB),Band #2 Frequency (Hz),Band #2 Frequency display,Band #2 Value (Raw),Band #2 Value (dB),Band #3 Frequency (Hz),Band #3 Frequency display,Band #3 Value (Raw),Band #3 Value (dB),Band #4 Frequency (Hz),Band #4 Frequency display,Band #4 Value (Raw),Band #4 Value (dB),Band #5 Frequency (Hz),Band #5 Frequency display,Band #5 Value (Raw),Band #5 Value (dB),Band #6 Frequency (Hz),Band #6 Frequency display,Band #6 Value (Raw),Band #6 Value (dB),Band #7 Frequency (Hz),Band #7 Frequency display,Band #7 Value (Raw),Band #7 Value (dB),Band #8 Frequency (Hz),Band #8 Frequency display,Band #8 Value (Raw),Band #8 Value (dB),Band #9 Frequency (Hz),Band #9 Frequency display,Band #9 Value (Raw),Band #9 Value (dB),Band #10 Frequency (Hz),Band #10 Frequency display,Band #10 Value (Raw),Band #10 Value (dB)
'Pop',3,0,0,32,32,-150,-1.5,64,64,-100,-1,128,125,0,0,256,250,200,2,512,500,400,4,1024,1K,400,4,2048,2K,200,2,4096,4K,0,0,8192,8K,-100,-1,16384,16K,-150,-1.5
